Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\biogap_public\submodules\sensei-exg-shield\Hardware\ExG_shield_pcb\Project Outputs for ExG_shield\production_files\Pick Place for ExG_shield(Unipolar_supply).txt

========================================================================================================================
File Design Information:

Date:       20.04.26
Time:       11:23
Revision:   176c82a5b923655744e22cf0253c745a8d6a8436
Variant:    Unipolar_supply
Units used: mm

Designator Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                  
J1         DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     9.9750       25.6400      0        Connector                                                                                                                                    
J2         DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     14.2750      25.6400      0        Connector                                                                                                                                    
J7         DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     5.6750       25.6400      0        Connector                                                                                                                                    
J8         DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     22.8750      19.2950      0        Connector                                                                                                                                    
J9         DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     14.2750      19.2950      0        Connector                                                                                                                                    
J10        DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     18.5750      19.2950      0        Connector                                                                                                                                    
J11        DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     9.9750       19.2950      0        Connector                                                                                                                                    
J12        DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     5.6750       19.2950      0        Connector                                                                                                                                    
J13        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     22.8750      25.6400      180      Connector                                                                                                                                    
J14        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     18.5750      25.6400      180      Connector                                                                                                                                    
J15        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     9.9750       25.6400      180      Connector                                                                                                                                    
J16        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     14.2750      25.6400      180      Connector                                                                                                                                    
J17        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     5.6750       25.6400      180      Connector                                                                                                                                    
J18        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     22.8750      19.2950      180      Connector                                                                                                                                    
J19        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     18.5750      19.2950      180      Connector                                                                                                                                    
J20        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     14.2750      19.2950      180      Connector                                                                                                                                    
J21        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     9.9750       19.2950      180      Connector                                                                                                                                    
J22        DF52-2S-0.8H_21_          TopLayer    DF522S08H21                     5.6750       19.2950      180      Connector                                                                                                                                    
J23        DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     22.8750      25.6400      0        Connector                                                                                                                                    
J25        DF52-2S-0.8H_21_          BottomLayer DF522S08H21                     18.5750      25.6400      0        Connector                                                                                                                                    
R15        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   8.9000       23.7000      0        "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R16        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   13.6000      23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R17        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   10.0000      23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R19        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   19.7000      23.7000      0        "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R20        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   4.7000       23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R21        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   6.3000       23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R22        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   8.1000       23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R24        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   16.1000      23.6750      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R25        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   12.3000      23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R26        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   17.9000      23.6500      0        "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R27        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   21.8500      23.6500      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R28        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   14.8000      23.7000      0        "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R29        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   18.8000      23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R30        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   23.1000      23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R31        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   20.9000      23.7000      0        "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R23        RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   11.3000      23.7000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R18        RT0402FRE074K7L           TopLayer    FP-RT0402-MFG                   4.5000       23.6750      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
C42        CL05A105KP5NNNC           TopLayer    FP-CL511-IPC_C                  19.3464      1.7500       0        "Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"                                                                                      
R12        RC0402FR-070RL            BottomLayer FP-RC0402-0_4-IPC_C             19.3750      5.8750       180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
R11        RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_C             9.9250       4.5750       180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
R33        RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_C             9.3500       11.9714      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
J24        505070-4222               TopLayer    5050704222                      14.3500      14.7320      180      Connector                                                                                                                                    
U6         TPS22916CYFPR             BottomLayer BGA4C40P2X2_78X78X50            16.8000      1.9000       270      "Integrated Circuit"                                                                                                                         
R14        RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_A             9.4000       5.9000       270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
R10        RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_C             7.9214       13.3750      0        "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
C40        CL05A104KA5NNNC           BottomLayer FP-CL278-IPC_C                  16.2250      3.3000       90       "Cap Ceramic 100nF 25V X5R ±10% SMD 0402 +85°C Paper T/R"                                                                                    
C39        CL05A105KP5NNNC           BottomLayer FP-CL511-IPC_C                  16.8000      0.7000       0        "Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"                                                                                      
C21        GRM155R71H152KA01D        TopLayer    CAPC1005X55X25NL05T10           19.4920      11.3650      270      ""                                                                                                                                           
Y1         SIT8021AC-J3-18S-2.048000 BottomLayer FP-SiT8021-MFG                  14.4500      2.2450       180      "MEMS OSC 2.048MHZ LVCMOS"                                                                                                                   
U3         ISL21080CIH320Z-TK        BottomLayer FP-P3_064A-IPC_C                11.6000      14.0949      270      "IC VREF SERIES 0.3% SOT23-3"                                                                                                                
U2         ADS1298RIZXGT             BottomLayer TI-ZXG64                        14.2000      8.1000       270      "8-Channel, 24-Bit ADC with Integrated Respiration Impedance and ECG Front End, -40 to 85 degC, 64-pin BGA (ZXG64), Green (RoHS & no Sb/Br)" 
U1         ADS1298RIZXGT             TopLayer    TI-ZXG64                        14.7500      8.3250       270      "8-Channel, 24-Bit ADC with Integrated Respiration Impedance and ECG Front End, -40 to 85 degC, 64-pin BGA (ZXG64), Green (RoHS & no Sb/Br)" 
R9         RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_A             17.7500      3.6750       180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
R8         RR0510P-563-D             BottomLayer FP-RR0510-MFG                   18.4000      14.4000      90       "56kO ±0.5% 0.0625W 1/16W Chip Resistor 0402 (1005 Metric) Thin Film"                                                                        
R7         RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   14.2000      15.0250      0        "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R6         RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   16.2000      15.1000      0        "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R5         RT0402FRE074K7L           BottomLayer FP-RT0402-MFG                   18.4000      12.9000      180      "RES 4.70K OHM 1/16W 1% SMD 0402"                                                                                                            
R4         RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_A             17.3214      2.7250       180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
R1         MCS04020C1004FE000        TopLayer    FP-MCS0402-IPC_C                20.2250      11.3000      270      "RES SMD 1M OHM 1% 1/10W 0402"                                                                                                               
Q1         PMSS3906                  BottomLayer SOT323_N                        16.0500      13.5500      0        "PNP Switching Transistor"                                                                                                                   
C34        CL05A104KA5NNNC           BottomLayer FP-CL278-IPC_C                  19.4000      14.4786      270      "Cap Ceramic 100nF 25V X5R ±10% SMD 0402 +85°C Paper T/R"                                                                                    
